Consecutivo;;Cliente;Producto;PesoVenta;Sacos;Precio;Total
102;29/07/2015 06:55:34;592;9;17500;0;7450;130375000
103;29/07/2015 06:56:56;592;9;17500;0;7450;130375000
104;29/07/2015 07:43:41;3841;9;7;0;6000;42000
105;29/07/2015 08:03:51;3842;9;4;0;7500;30000
106;29/07/2015 17:27:10;592;9;17499;0;7450;130367550
107;31/07/2015 09:56:46;52;9;3;0;7500;22500
108;31/07/2015 13:25:30;3864;9;36;0;7000;252000
109;31/07/2015 13:26:27;52;9;1,5;0;7500;11250
110;31/07/2015 13:29:37;3865;11;103;0;2800;288400
111;31/07/2015 13:54:05;3867;9;1;0;7500;7500
112;01/08/2015 11:11:12;3876;9;1,5;0;7500;11250
113;01/08/2015 11:14:32;3877;7;3;0;8000;24000
114;03/08/2015 07:53:57;1;9;30;0;7500;225000
115;03/08/2015 08:02:18;3607;7;2040;0;5300;10812000
116;03/08/2015 14:39:32;592;9;17039;0;7450;126940550
117;03/08/2015 14:40:37;592;9;16642;0;7450;123982900
118;04/08/2015 09:27:49;942;14;168;0;2800;470400
119;04/08/2015 12:12:14;1918;9;1;0;7500;7500
120;05/08/2015 11:13:49;592;9;16570;0;7450;123446500
121;05/08/2015 16:07:52;2370;9;3;0;7800;23400
122;06/08/2015 13:58:49;592;9;16383;0;7400;121234200
123;06/08/2015 16:37:29;3914;7;2,5;0;8000;20000
124;08/08/2015 07:37:41;592;9;17111;0;7400;126621400
125;08/08/2015 08:50:52;3785;9;30;0;7800;234000
126;08/08/2015 11:43:26;592;9;16992;0;7400;125740800
127;08/08/2015 07:45:43;592;9;15994;0;7400;118355600
128;08/08/2015 08:41:01;592;1;13260;0;6027;79918020
129;08/08/2015 08:41:34;592;1;12590;0;6027;75879930
130;08/08/2015 11:28:48;592;1;13360;0;6121;81776560
131;08/08/2015 11:29:15;592;1;13121;0;6121;80313641
132;08/08/2015 14:01:40;96;1;3259;0;6064;19762576
133;08/08/2015 14:02:07;96;1;687;0;6064;4165968
134;08/08/2015 14:02:56;96;1;7817;0;6064;47402288
135;08/08/2015 14:03:22;96;1;8588;0;6064;52077632
136;08/08/2015 14:05:58;96;1;3958;0;6064;24001312
137;08/08/2015 14:06:09;96;1;3027;0;6064;18355728
138;08/08/2015 14:09:04;96;1;4532;0;6064;27482048
139;08/08/2015 14:09:44;96;1;2311;0;6064;14013904
140;08/08/2015 14:10:30;96;1;4325;0;6064;26226800
141;08/08/2015 14:12:23;96;1;3432;0;6064;20811648
142;08/08/2015 14:12:40;96;1;4031;0;6064;24443984
143;08/08/2015 14:13:19;96;1;2292;0;6064;13898688
144;08/08/2015 14:13:54;96;1;1741;0;6064;10557424
145;10/08/2015 16:15:12;96;1;8172;0;5800;47397600
146;10/08/2015 16:15:27;96;1;4200;0;5800;24360000
147;10/08/2015 16:41:14;96;1;7628;0;5800;44242400
148;10/08/2015 17:55:57;592;9;16962;0;7400;125518800
149;11/08/2015 07:31:55;592;9;809;0;7400;5986600
150;12/08/2015 08:21:04;76;9;30;0;7800;234000
151;13/08/2015 13:12:44;592;9;15749;0;7400;116542600
152;13/08/2015 13:13:58;592;9;1731;0;7500;12982500
153;13/08/2015 08:00:38;3718;8;2006;0;5500;11033000
154;13/08/2015 08:01:20;3718;8;3992;0;4600;18363200
155;15/08/2015 12:24:09;3979;9;7;0;7800;54600
156;15/08/2015 13:40:59;3785;9;30;0;7800;234000
157;15/08/2015 16:02:52;592;1;13657;0;6480;88497360
158;15/08/2015 16:06:02;592;1;11343;0;6480;73502640
159;15/08/2015 16:07:22;592;1;10000;0;6914;69140000
160;15/08/2015 16:08:12;592;1;15000;0;6873;103095000
161;16/08/2015 10:00:02;592;9;16669;0;7500;125017500
162;18/08/2015 11:57:14;592;9;16312;0;7500;122340000
163;19/08/2015 08:42:28;592;9;17349;0;7500;130117500
164;19/08/2015 08:42:41;592;9;16362;0;7500;122715000
165;19/08/2015 11:30:32;4000;9;10;0;7720;77200
166;19/08/2015 11:39:04;592;9;16531;0;7500;123982500
167;20/08/2015 09:51:17;592;9;15992;0;7500;119940000
168;20/08/2015 10:06:07;4007;9;25;0;7800;195000
169;20/08/2015 11:05:46;76;9;30;0;7800;234000
170;21/08/2015 08:11:04;592;9;16081;0;7500;120607500
171;24/08/2015 08:41:12;76;9;30;0;7800;234000
172;24/08/2015 09:18:09;4027;7;20;0;7000;140000
173;26/08/2015 15:13:01;3521;1;207;0;6320;1308240
174;26/08/2015 15:13:26;3521;1;884;0;6320;5586880
175;26/08/2015 15:14:52;3521;1;4009;0;6320;25336880
176;26/08/2015 15:16:41;3521;1;4430;0;6320;27997600
177;26/08/2015 15:19:06;3521;1;9532;0;6320;60242240
178;26/08/2015 15:24:15;3521;1;938;0;6320;5928160
179;27/08/2015 14:40:15;2145;9;30;0;8000;240000
180;28/08/2015 10:25:37;4027;7;25;0;8000;200000
181;31/08/2015 10:45:59;592;1;3436;0;6295;21629620
182;31/08/2015 10:48:16;592;1;14301;0;6309;90225010
183;31/08/2015 10:48:38;592;1;13882;0;6306;87539890
184;03/09/2015 08:17:36;76;9;30;0;8000;240000
185;03/09/2015 17:20:47;592;9;14856;0;8100;120333600
186;03/09/2015 17:21:06;592;9;15680;0;8100;127008000
187;04/09/2015 13:01:45;592;9;15661;0;8100;126854100
188;04/09/2015 13:02:58;592;9;16285;0;7500;122137500
189;07/09/2015 08:42:45;76;9;30;0;8000;240000
190;08/09/2015 08:13:52;592;9;15740;0;8100;127494000
191;08/09/2015 07:50:45;592;9;16030;0;8100;129843000
192;08/09/2015 07:51:07;592;9;16552;0;7500;124140000
193;12/09/2015 09:00:22;76;9;30;0;8500;255000
194;15/09/2015 09:21:47;96;1;12762;0;5936;75755232
195;15/09/2015 09:22:47;96;1;10510;0;5936;62387360
196;15/09/2015 09:23:07;96;1;6728;0;5936;39937408
197;15/09/2015 09:26:12;96;1;8702;0;5920;51515840
198;15/09/2015 09:27:20;96;1;6654;0;5920;39391680
199;15/09/2015 09:27:35;96;1;2567;0;5920;15196640
200;15/09/2015 09:28:21;96;1;12020;0;5920;71158400
201;15/09/2015 09:28:49;96;1;6585;0;5920;38983200
202;15/09/2015 09:29:24;96;1;11860;0;5920;70211200
203;15/09/2015 09:29:58;96;1;1612;0;5920;9543040
204;17/09/2015 06:40:35;76;9;30;0;8500;255000
205;17/09/2015 09:40:59;3718;7;2250;0;5200;11700000
206;17/09/2015 09:41:44;3718;7;3400;0;4500;15300000
207;19/09/2015 11:16:50;76;9;30;0;8500;255000
208;22/09/2015 17:02:03;96;1;14020;0;5664;79409280
209;22/09/2015 17:02:20;96;1;13630;0;5664;77200320
